id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2000-M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01-800182568-800635294-RR,2000-M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01,RR,1,,800182568,Sidney Bwalya,ZAM,26.736,800635294,William Forcellini,SMR,18.534,63 60,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01-800184486-800182569-RR,2000-M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01,RR,2,,800184486,Domenico Vicini,SMR,28.381,800182569,Lighton Ndefwai-muchinda,ZAM,26.411,75 63,2,0,13,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-ZAM-SMR-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-CYP-LES-01-800189231-800197811-RR,2000-M-DC-2000-G4-EA-A-B-M-CYP-LES-01,RR,2,,800189231,Demetrios Leontis,CYP,21.15,800197811,Ntsane Moeletsi,LES,21.795,61 60,2,0,12,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-CYP-LES-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-CYP-LES-01-800203823-800220002-RR,2000-M-DC-2000-G4-EA-A-B-M-CYP-LES-01,RR,1,,800203823,George Kalanov,CYP,19.935,800220002,Khotso Khali,LES,22.666,63 61,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-CYP-LES-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-KEN-UGA-01-800195168-800199241-RR,2000-M-DC-2000-G4-EA-A-B-M-KEN-UGA-01,RR,2,,800195168,Trevor Kiruki,KEN,19.182,800199241,Bob Ndibwami,UGA,21.451,64 36 61,2,1,15,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-KEN-UGA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-KEN-UGA-01-800705744-800195191-RR,2000-M-DC-2000-G4-EA-A-B-M-KEN-UGA-01,RR,1,,800705744,Allan Cooper,KEN,22.494,800195191,Robert Buyinza,UGA,20.244,63 61,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-KEN-UGA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01-800182568-800183999-RR,2000-M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01,RR,1,,800182568,Sidney Bwalya,ZAM,26.739,800183999,Yohannes Setegnwandimu,ETH,22.099,62 61,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01-800191605-800182569-RR,2000-M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01,RR,2,,800191605,Samuel Woldegebriel,ETH,19.083,800182569,Lighton Ndefwai-muchinda,ZAM,26.413,75 63,2,0,13,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-ZAM-ETH-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-CYP-KEN-01-800189231-800195168-RR,2000-M-DC-2000-G4-EA-A-B-M-CYP-KEN-01,RR,2,,800189231,Demetrios Leontis,CYP,21.153,800195168,Trevor Kiruki,KEN,19.185,64 64,2,0,12,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-CYP-KEN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-CYP-KEN-01-800705744-800203823-RR,2000-M-DC-2000-G4-EA-A-B-M-CYP-KEN-01,RR,1,,800705744,Allan Cooper,KEN,22.497,800203823,George Kalanov,CYP,19.938,75 46 75,2,1,18,16,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-CYP-KEN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-LES-DJI-01-800197811-800210073-RR,2000-M-DC-2000-G4-EA-A-B-M-LES-DJI-01,RR,2,,800197811,Ntsane Moeletsi,LES,21.798,800210073,Kadar Mogueh,DJI,23.801,61 61,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-LES-DJI-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-LES-DJI-01-800220001-800214649-RR,2000-M-DC-2000-G4-EA-A-B-M-LES-DJI-01,RR,1,,800220001,Relebohile Motsepa,LES,28.18,800214649,Alla Moussa,DJI,17.545,61 61,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-LES-DJI-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-A-M-NAM-SMR-01-800184486-800220006-RR,2000-M-DC-2000-G4-EA-A-A-M-NAM-SMR-01,RR,2,,800184486,Domenico Vicini,SMR,28.387,800220006,Johan Theron,NAM,24.365,61 61,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-NAM-SMR-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-A-M-NAM-SMR-01-800197655-800635294-RR,2000-M-DC-2000-G4-EA-A-A-M-NAM-SMR-01,RR,1,,800197655,Jean-Pierre Huish,NAM,21.44,800635294,William Forcellini,SMR,18.54,63 62,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-A-M-NAM-SMR-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-KEN-DJI-01-800210033-800210077-RR,2000-M-DC-2000-G4-EA-A-B-M-KEN-DJI-01,RR,1,,800210033,Barry Ndinya,KEN,22.844,800210077,Abdou-Rahman Aden,DJI,29.897,61 62,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-KEN-DJI-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-KEN-DJI-01-800705744-800210073-RR,2000-M-DC-2000-G4-EA-A-B-M-KEN-DJI-01,RR,2,(RET),800705744,Allan Cooper,KEN,22.5,800210073,Kadar Mogueh,DJI,23.803,60 10 Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-M-DC-2000-G4-EA-A-B-M-KEN-LES-01-800195168-800197811-RR,2000-M-DC-2000-G4-EA-A-B-M-KEN-LES-01,RR,2,,800195168,Trevor Kiruki,KEN,19.188,800197811,Ntsane Moeletsi,LES,21.801,62 60,2,0,12,2,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2000-G4-EA-A-B-M-KEN-LES-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
