id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,series_category_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-M-DC-1999-G1-EA-M-AUT-POR-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-AUT-POR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-AUT-POR-01,,Wels,,,Indoor,Clay,dc,dc,19990402,19990404,,,,,AUT
1999-M-DC-1999-G1-EA-M-BLR-RSA-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-BLR-RSA-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-BLR-RSA-01,,Cape Town,,,Outdoor,Hard,dc,dc,19990402,19990404,,,,,RSA
1999-M-DC-1999-G1-EA-M-ISR-FIN-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-ISR-FIN-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-ISR-FIN-01,,Helsinki,,,Indoor,Carpet,dc,dc,19990402,19990404,,,,,FIN
1999-M-DC-1999-G1-EA-M-ROU-CRO-01,"Group I, Euro/African",1999,M-DC-1999-G1-EA-M-ROU-CRO-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G1-EA-M-ROU-CRO-01,,Bucharest,,,Outdoor,Clay,dc,dc,19990402,19990404,,,,,ROU
1999-M-DC-1999-G2-AMN-M-CRC-URU-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-CRC-URU-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-CRC-URU-01,,Escazu,,,Outdoor,Hard,dc,dc,19990402,19990404,,,,,CRC
1999-M-DC-1999-G2-AMN-M-CUB-HAI-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-CUB-HAI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-CUB-HAI-01,,Havana,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,CUB
1999-M-DC-1999-G2-AMN-M-MEX-PAR-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-MEX-PAR-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-MEX-PAR-01,,San Luis Potosi,,,Outdoor,Hard,dc,dc,19990402,19990404,,,,,MEX
1999-M-DC-1999-G2-AMN-M-PER-DOM-01,"Group II, American",1999,M-DC-1999-G2-AMN-M-PER-DOM-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AMN-M-PER-DOM-01,,Santo Domingo,,,Outdoor,Hard,dc,dc,19990402,19990404,,,,,DOM
1999-M-DC-1999-G2-AO-M-INA-PHI-01,"Group II, Asia/Oceania",1999,M-DC-1999-G2-AO-M-INA-PHI-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-M-INA-PHI-01,,Jakarta,,,Indoor,Hard,dc,dc,19990402,19990404,,,,,INA
1999-M-DC-1999-G2-AO-REL-QAT-TPE-01,"Group II, Asia/Oceania, Relegation Play-off",1999,M-DC-1999-G2-AO-REL-QAT-TPE-01,https://www.daviscup.com/en/draws-results/tie.aspx?id=M-DC-1999-G2-AO-REL-QAT-TPE-01,,Kaoshiung,,,Outdoor,Clay,dc,dc,19990402,19990404,,,,,TPE
