id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2023-M-DC-2023-WG2-PO-BOL-GEO-01-800329291-800597829-RR,2023-M-DC-2023-WG2-PO-BOL-GEO-01,RR,1,,800329291,Aleksandre Bakshi,GEO,25.548,800597829,Juan Carlos Prado angelo,BOL,17.905,76(1) 61,2,0,13,7,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-WG2-PO-BOL-GEO-01_1.json,89,7,4,43,66,35,43,9,23,3,4,75,66,17,36,12,28,3,7,,,29,64,73,130,0,0,0,0,0,,,,,3,1,36,64,19,36,16,28,4,7,80,64,8,43,14,23,1,4,,,22,66,57,130,0,0,0,0,0,,,,
2023-M-DC-2023-WG2-PO-BOL-GEO-01-800344707-800726711-RR,2023-M-DC-2023-WG2-PO-BOL-GEO-01,RR,2,,800344707,Zura Tkemaladze,GEO,22.661,800726711,Raul Garcia,BOL,20.908,62 61,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-WG2-PO-BOL-GEO-01_2.json,73,0,2,28,44,24,28,10,16,1,1,54,44,13,27,11,20,4,8,,,24,47,58,91,0,0,0,0,0,,,,,0,0,27,47,14,27,9,20,4,8,56,47,4,28,6,16,0,1,,,10,44,33,91,0,0,0,0,0,,,,
2023-M-DC-2023-WG2-PO-BOL-GEO-01-800395348-800597829-RR,2023-M-DC-2023-WG2-PO-BOL-GEO-01,RR,4,,800395348,Saba Purtseladze,GEO,21.451,800597829,Juan Carlos Prado angelo,BOL,17.905,67(3) 62 10,2,1,13,9,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-WG2-PO-BOL-GEO-01_4.json,89,4,3,39,67,33,39,13,28,0,1,80,67,13,46,13,26,3,5,,,26,72,72,139,0,0,0,0,0,,,,,0,2,46,72,33,46,13,26,2,5,85,72,6,39,15,28,1,1,,,21,67,67,139,0,0,0,0,0,,,,
2023-M-DC-2023-QLS-M-FRA-HUN-01-800264469-800289719-RR,2023-M-DC-2023-QLS-M-FRA-HUN-01,RR,4,,800264469,Adrian Mannarino,FRA,34.596,800289719,Marton Fucsovics,HUN,30.986,76(6) 62,2,0,13,8,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-FRA-HUN-01_4.json,103,2,0,42,56,31,42,10,14,1,2,66,56,17,37,19,37,3,7,,,36,74,77,130,10,14,27,1,1,203,185,157,144,4,4,37,74,20,37,18,37,4,7,92,74,11,42,4,14,1,2,,,15,56,53,130,8,18,43,4,5,209,193,179,158
2023-M-DC-2023-QLS-M-FRA-HUN-01-800338544-800289719-RR,2023-M-DC-2023-QLS-M-FRA-HUN-01,RR,2,,800338544,Ugo Humbert,FRA,24.604,800289719,Marton Fucsovics,HUN,30.986,63 62,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-FRA-HUN-01_2.json,73,4,1,36,51,28,36,9,15,2,2,60,51,13,34,8,17,3,7,,,21,51,58,102,10,7,18,2,4,209,198,165,154,2,2,34,51,21,34,9,17,4,7,60,51,8,36,6,15,0,2,,,14,51,44,102,16,13,28,1,3,207,194,188,166
2023-M-DC-2023-QLS-M-FRA-HUN-01-800338544-800352195-RR,2023-M-DC-2023-QLS-M-FRA-HUN-01,RR,5,,800338544,Ugo Humbert,FRA,24.604,800352195,Fabian Marozsan,HUN,23.319,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-FRA-HUN-01_5.json,65,8,1,38,47,29,38,6,9,1,2,53,47,14,32,9,18,4,4,,,23,50,58,97,10,12,15,4,5,208,195,163,152,0,1,32,50,18,32,9,18,0,4,59,50,9,38,3,9,1,2,,,12,47,39,97,11,13,26,3,3,202,188,168,157
2023-M-DC-2023-QLS-M-FRA-HUN-01-800350493-800335627-RR,2023-M-DC-2023-QLS-M-FRA-HUN-01,RR,1,,800350493,Zsombor Piros,HUN,23.306,800335627,Benjamin Bonzi,FRA,26.65,76(4) 63,2,0,13,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-FRA-HUN-01_1.json,96,4,2,48,82,35,48,14,34,6,8,96,82,13,38,9,19,3,4,,,22,57,71,139,19,24,26,4,7,210,195,165,152,4,0,38,57,25,38,10,19,1,4,67,57,13,48,20,34,2,8,,,33,82,68,139,12,18,30,6,7,215,198,209,164
2023-M-DC-2023-QLS-M-GBR-COL-01-800312611-800254314-RR,2023-M-DC-2023-QLS-M-GBR-COL-01,RR,2,,800312611,Cameron Norrie,GBR,27.446,800254314,Nicolas Barrientos,COL,35.776,62 75,2,0,13,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-GBR-COL-01_2.json,81,10,1,55,78,40,55,10,23,7,8,88,78,10,32,11,19,4,5,,,21,51,71,129,4,23,15,5,6,197,186,184,138,2,3,32,51,22,32,8,19,1,5,59,51,15,55,13,23,1,8,,,28,78,58,129,17,37,17,1,8,199,180,169,144
2023-M-DC-2023-QLS-M-GBR-COL-01-800312611-800390599-RR,2023-M-DC-2023-QLS-M-GBR-COL-01,RR,4,,800312611,Cameron Norrie,GBR,27.446,800390599,Nicolas Mejia,COL,22.978,64 64,2,0,12,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-GBR-COL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-M-DC-2023-QLS-M-GBR-COL-01-800390599-800265540-RR,2023-M-DC-2023-QLS-M-GBR-COL-01,RR,1,,800390599,Nicolas Mejia,COL,22.978,800265540,Daniel Evans,GBR,32.696,62 26 64,2,1,14,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2023-QLS-M-GBR-COL-01_1.json,151,9,0,50,86,35,50,22,36,7,9,108,86,17,62,20,30,3,6,,,37,92,94,178,13,37,28,9,23,200,187,174,146,5,7,62,92,45,62,10,30,3,6,102,92,15,50,14,36,2,9,,,29,86,84,178,14,40,25,11,24,196,175,167,150
