id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2013-M-DC-2013-G1-AM-M-URU-DOM-01-800217401-800269755-RR,2013-M-DC-2013-G1-AM-M-URU-DOM-01,RR,4,,800217401,Marcel Felder,URU,28.561,800269755,Jose Hernandez-Fernandez,DOM,22.884,63 36 63 57 62,3,2,26,21,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AM-M-URU-DOM-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AM-M-URU-DOM-01-800217401-800295031-RR,2013-M-DC-2013-G1-AM-M-URU-DOM-01,RR,1,,800217401,Marcel Felder,URU,28.561,800295031,Roberto Cid Subervi,DOM,19.422,63 63 62,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AM-M-URU-DOM-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AM-M-URU-DOM-01-800269755-800285451-RR,2013-M-DC-2013-G1-AM-M-URU-DOM-01,RR,2,,800269755,Jose Hernandez-Fernandez,DOM,22.884,800285451,Martin Cuevas,URU,21.048,64 61 63,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AM-M-URU-DOM-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-AUS-TPE-01-800199746-800266223-RR,2013-M-DC-2013-G1-AO-M-AUS-TPE-01,RR,1,,800199746,Lleyton Hewitt,AUS,31.938,800266223,Tsung-Hua Yang,TPE,21.841,64 64 64,3,0,18,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-AUS-TPE-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-AUS-TPE-01-800246603-800221058-RR,2013-M-DC-2013-G1-AO-M-AUS-TPE-01,RR,4,,800246603,Marinko Matosevic,AUS,27.481,800221058,Ti Chen,TPE,29.327,76(5) 63,2,0,13,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-AUS-TPE-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-AUS-TPE-01-800255653-800221058-RR,2013-M-DC-2013-G1-AO-M-AUS-TPE-01,RR,2,,800255653,Matthew Ebden,AUS,25.182,800221058,Ti Chen,TPE,29.327,63 64 75,3,0,19,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-AUS-TPE-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-AUS-TPE-01-800255653-800266223-RR,2013-M-DC-2013-G1-AO-M-AUS-TPE-01,RR,5,,800255653,Matthew Ebden,AUS,25.182,800266223,Tsung-Hua Yang,TPE,21.841,61 62,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-AUS-TPE-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-INA-JPN-01-800210999-800295354-RR,2013-M-DC-2013-G1-AO-M-INA-JPN-01,RR,2,,800210999,Go Soeda,JPN,28.405,800295354,Wisnu Adi Nugroho,INA,18.68,60 60 61,3,0,18,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-INA-JPN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-INA-JPN-01-800253100-800249081-RR,2013-M-DC-2013-G1-AO-M-INA-JPN-01,RR,1,,800253100,Tatsuma Ito,JPN,24.704,800249081,Christopher Rungkat,INA,23.048,62 62 64,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-INA-JPN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-INA-JPN-01-800253101-800249081-RR,2013-M-DC-2013-G1-AO-M-INA-JPN-01,RR,4,,800253101,Yuichi Sugita,JPN,24.37,800249081,Christopher Rungkat,INA,23.048,61 63,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-INA-JPN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-INA-JPN-01-800274577-800295354-RR,2013-M-DC-2013-G1-AO-M-INA-JPN-01,RR,5,,800274577,Yasutaka Uchiyama,JPN,20.489,800295354,Wisnu Adi Nugroho,INA,18.68,61 63,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-INA-JPN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-M-DC-2013-G1-AO-M-KOR-IND-01-800157382-800266035-RR,2013-M-DC-2013-G1-AO-M-KOR-IND-01,RR,5,,800157382,JiSung Nam,KOR,19.462,800266035,Vijayant Malik,IND,22.965,62 64,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2013-G1-AO-M-KOR-IND-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
