id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2001-M-DC-2001-G1-AMN-M-BAH-PER-01-k171-m936-RR,2001-M-DC-2001-G1-AMN-M-BAH-PER-01,RR,1,,k171,Mark Knowles,BAH,29.43,m936,Mario Monroy,PER,18.715,,,75 62 63,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-BAH-PER-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-BAH-PER-01-m471-b949-RR,2001-M-DC-2001-G1-AMN-M-BAH-PER-01,RR,5,,m471,Mark Merklein,BAH,28.615,b949,Patrick Boza,PER,,,,64 62 64,3,0,18,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-BAH-PER-01-m783-k171-RR,2001-M-DC-2001-G1-AMN-M-BAH-PER-01,RR,4,,m783,Ivan Miranda,PER,20.919,k171,Mark Knowles,BAH,29.43,,,76(3) 16 63 62,3,1,20,17,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-BAH-PER-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-BAH-PER-01-m783-m471-RR,2001-M-DC-2001-G1-AMN-M-BAH-PER-01,RR,2,,m783,Ivan Miranda,PER,20.919,m471,Mark Merklein,BAH,28.615,,,62 46 62 67(2) 97,3,2,31,24,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-BAH-PER-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-MEX-ARG-01-g374-e212-RR,2001-M-DC-2001-G1-AMN-M-MEX-ARG-01,RR,2,,g374,Gaston Gaudio,ARG,22.166,e212,Bruno Echagaray,MEX,17.752,,,60 63 60,3,0,18,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-MEX-ARG-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-MEX-ARG-01-g374-o102-RR,2001-M-DC-2001-G1-AMN-M-MEX-ARG-01,RR,5,,g374,Gaston Gaudio,ARG,22.166,o102,Oscar Ortiz,MEX,27.75,,,63 60,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-MEX-ARG-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-MEX-ARG-01-s568-a361-RR,2001-M-DC-2001-G1-AMN-M-MEX-ARG-01,RR,4,,s568,Franco Squillari,ARG,25.465,a361,Marcello Amador,MEX,20.368,,,61 60,2,0,12,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AMN-M-MEX-ARG-01-s568-o102-RR,2001-M-DC-2001-G1-AMN-M-MEX-ARG-01,RR,1,,s568,Franco Squillari,ARG,25.465,o102,Oscar Ortiz,MEX,27.75,,,61 64 60,3,0,18,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AMN-M-MEX-ARG-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AO-M-CHN-IND-01-p269-w291-RR,2001-M-DC-2001-G1-AO-M-CHN-IND-01,RR,1,,p269,Leander Paes,IND,27.645,w291,Yu Jr. Wang,CHN,19.521,,,46 60 60 64,3,1,22,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2001-G1-AO-M-CHN-IND-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-M-DC-2001-G1-AO-M-CHN-IND-01-p269-y039-RR,2001-M-DC-2001-G1-AO-M-CHN-IND-01,RR,4,,p269,Leander Paes,IND,27.645,y039,Yu Zhang,CHN,24.825,,,60 62 63,3,0,18,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
