id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
1999-M-DC-1999-G4-AO-A-M-IRQ-UAE-01-800200368-800210178-RR,1999-M-DC-1999-G4-AO-A-M-IRQ-UAE-01,RR,2,,800200368,Omar Alawadhi,UAE,17.051,800210178,Saddam-Hussain Kadhim,IRQ,25.814,60 64,2,0,12,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-IRQ-UAE-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-A-M-IRQ-UAE-01-800215068-800196168-RR,1999-M-DC-1999-G4-AO-A-M-IRQ-UAE-01,RR,1,,800215068,Auday Jihad,IRQ,35.693,800196168,Hadi Badri,UAE,17.924,61 64,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-A-M-IRQ-UAE-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-FIJ-KUW-01-800184745-800215066-RR,1999-M-DC-1999-G4-AO-B-M-FIJ-KUW-01,RR,1,,800184745,Hussain Al ashwak,KUW,22.465,800215066,Mohammed Jannif,FIJ,28.134,57 64 63,2,1,17,14,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-FIJ-KUW-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-FIJ-KUW-01-800198476-800185396-RR,1999-M-DC-1999-G4-AO-B-M-FIJ-KUW-01,RR,2,,800198476,Mohammad Ghareeb,KUW,18.534,800185396,Sanjeev Tikaram,POC,26.844,60 75,2,0,13,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-FIJ-KUW-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-JOR-OMA-01-800184924-800194159-RR,1999-M-DC-1999-G4-AO-B-M-JOR-OMA-01,RR,1,,800184924,Mudrik Al rawahi,OMA,19.61,800194159,Ahmed Ibrahim Ahmad Alhadid,JOR,17.658,64 61,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-JOR-OMA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G4-AO-B-M-JOR-OMA-01-800203351-800194689-RR,1999-M-DC-1999-G4-AO-B-M-JOR-OMA-01,RR,2,,800203351,Khalid Al Nabhani,OMA,16.422,800194689,Khaled Naffa,JOR,19.139,63 62,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G4-AO-B-M-JOR-OMA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G1-AO-M-NZL-CHN-01-800185048-800187339-RR,1999-M-DC-1999-G1-AO-M-NZL-CHN-01,RR,5,,800185048,Mark Nielsen,NZL,21.325,800187339,Yu Zhang,CHN,22.814,61 63 64,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G1-AO-M-NZL-CHN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G1-AO-M-NZL-CHN-01-800185048-800196058-RR,1999-M-DC-1999-G1-AO-M-NZL-CHN-01,RR,1,,800185048,Mark Nielsen,NZL,21.325,800196058,Ben-Qiang Zhu,CHN,19.895,63 62 75,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G1-AO-M-NZL-CHN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G1-AO-M-NZL-CHN-01-800187339-800180210-RR,1999-M-DC-1999-G1-AO-M-NZL-CHN-01,RR,2,,800187339,Yu Zhang,CHN,22.814,800180210,Alistair Hunt,NZL,26.233,61 67(3) 63 46 62,3,2,28,19,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G1-AO-M-NZL-CHN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-DC-1999-G1-AO-M-NZL-CHN-01-800196058-800180210-RR,1999-M-DC-1999-G1-AO-M-NZL-CHN-01,RR,4,,800196058,Ben-Qiang Zhu,CHN,19.895,800180210,Alistair Hunt,NZL,26.233,64 76(6) 26 63,3,1,21,19,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-1999-G1-AO-M-NZL-CHN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
