id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2022-M-DC-2022-QLS-M-ARG-CZE-01-800293718-800332519-RR,2022-M-DC-2022-QLS-M-ARG-CZE-01,RR,4,,800293718,Federico Coria,ARG,29.986,800332519,Vit Kopriva,CZE,24.72,62 64,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-ARG-CZE-01_4.json,84,3,0,26,45,22,26,12,19,0,1,57,45,13,36,19,30,4,8,,,32,66,66,111,12,7,26,5,5,207,188,162,148,0,3,36,66,23,36,11,30,4,8,77,66,4,26,7,19,1,1,,,11,45,45,111,12,8,40,1,5,203,171,166,143
2022-M-DC-2022-QLS-M-ARG-CZE-01-800302608-800361512-RR,2022-M-DC-2022-QLS-M-ARG-CZE-01,RR,2,,800302608,Diego Schwartzman,ARG,29.551,800361512,Tomas Machac,CZE,21.392,26 62 63,2,1,14,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-ARG-CZE-01_2.json,136,2,7,58,89,38,58,11,31,9,14,100,89,18,39,20,36,6,9,,,38,75,87,164,19,9,33,0,6,187,169,156,143,1,5,39,75,21,39,16,36,3,9,91,75,20,58,20,31,5,14,,,40,89,77,164,27,11,50,3,9,206,185,155,141
2022-M-DC-2022-QLS-M-ARG-CZE-01-800458279-800403511-RR,2022-M-DC-2022-QLS-M-ARG-CZE-01,RR,1,,800458279,Sebastian Baez,ARG,21.185,800403511,Jiri Lehecka,CZE,20.322,76(4) 63,2,0,13,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-ARG-CZE-01_1.json,83,1,0,55,70,36,55,11,15,1,3,81,70,11,38,13,21,3,4,,,24,59,71,129,14,6,34,3,5,203,180,170,152,2,1,38,59,27,38,8,21,1,4,67,59,19,55,4,15,2,3,,,23,70,58,129,16,17,38,1,5,216,193,178,167
2022-M-DC-2022-QLS-M-AUS-HUN-01-800158756-800350493-RR,2022-M-DC-2022-QLS-M-AUS-HUN-01,RR,5,,800158756,Thanasi Kokkinakis,AUS,25.9,800350493,Zsombor Piros,HUN,22.392,64 64,2,0,12,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-AUS-HUN-01_5.json,84,9,0,32,50,28,32,12,18,0,0,62,50,18,43,6,21,2,4,,,24,64,64,114,7,9,21,0,3,209,199,179,156,4,1,43,64,25,43,15,21,2,4,79,64,4,32,6,18,0,0,,,10,50,50,114,16,10,37,2,2,206,187,173,157
2022-M-DC-2022-QLS-M-AUS-HUN-01-800289719-800158756-RR,2022-M-DC-2022-QLS-M-AUS-HUN-01,RR,2,,800289719,Marton Fucsovics,HUN,30.072,800158756,Thanasi Kokkinakis,AUS,25.9,76(4) 16 63,2,1,14,15,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-AUS-HUN-01_2.json,147,2,4,52,84,36,52,17,32,4,8,101,84,9,47,13,29,3,5,,,22,76,75,160,14,27,38,2,11,203,162,168,142,6,1,47,76,38,47,16,29,2,5,92,76,16,52,15,32,4,8,,,31,84,85,160,10,13,45,2,9,212,186,181,145
2022-M-DC-2022-QLS-M-AUS-HUN-01-800351626-800289719-RR,2022-M-DC-2022-QLS-M-AUS-HUN-01,RR,4,,800351626,Alex de Minaur,AUS,23.048,800289719,Marton Fucsovics,HUN,30.072,76(4) 64,2,0,13,10,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-AUS-HUN-01_4.json,131,4,1,39,64,31,39,15,25,3,4,79,64,19,54,22,42,2,9,,,41,96,87,160,7,18,32,4,13,207,188,164,144,1,4,54,96,35,54,20,42,7,9,116,96,8,39,10,25,1,4,,,18,64,73,160,21,8,64,4,12,201,185,177,156
2022-M-DC-2022-QLS-M-AUS-HUN-01-800351626-800350493-RR,2022-M-DC-2022-QLS-M-AUS-HUN-01,RR,1,,800351626,Alex de Minaur,AUS,23.048,800350493,Zsombor Piros,HUN,22.392,75 62,2,0,13,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-M-DC-2022-QLS-M-AUT-KOR-01-800309493-800157382-RR,2022-M-DC-2022-QLS-M-AUT-KOR-01,RR,1,,800309493,Dennis Novak,AUT,28.518,800157382,JiSung Nam,KOR,28.553,61 64,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-AUT-KOR-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-M-DC-2022-QLS-M-AUT-KOR-01-800368362-800309493-RR,2022-M-DC-2022-QLS-M-AUT-KOR-01,RR,4,,800368362,Soonwoo Kwon,KOR,24.255,800309493,Dennis Novak,AUT,28.518,75 75,2,0,14,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2022-QLS-M-AUT-KOR-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-M-DC-2022-QLS-M-AUT-KOR-01-800368362-800361404-RR,2022-M-DC-2022-QLS-M-AUT-KOR-01,RR,2,,800368362,Soonwoo Kwon,KOR,24.255,800361404,Jurij Rodionov,AUT,22.801,75 64,2,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
