id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2005-M-DC-2005-G4-EPA-A-B-M-AND-MRI-01-800204500-800260984-RR,2005-M-DC-2005-G4-EPA-A-B-M-AND-MRI-01,RR,1,,800204500,Jean-Baptiste Poux-Gautier,AND,23.75,800260984,Olivier Rey,MRI,17.674,60 61,2,0,12,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-AND-MRI-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G4-EPA-A-B-M-AND-MRI-01-800230387-800266515-RR,2005-M-DC-2005-G4-EPA-A-B-M-AND-MRI-01,RR,2,,800230387,Pau Gerbaud-farras,AND,21.112,800266515,Jerome Mamet,MRI,16.833,61 60,2,0,12,1,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-AND-MRI-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01-800220326-800204843-RR,2005-M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01,RR,1,,800220326,Farid Shirinov,AZE,19.717,800204843,Godfrey Uzunga,UGA,24.392,76(6) 75,2,0,14,11,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01-800234861-800247409-RR,2005-M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01,RR,2,,800234861,Patrick Olobo,UGA,20.986,800247409,Fakhraddin Shirinov,AZE,18,76(4) 75,2,0,14,11,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-AZE-UGA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01-800217367-800209899-RR,2005-M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01,RR,2,,800217367,Eric Hagenimana,RWA,20.115,800209899,Youssou Berthe,SEN,19.465,60 63,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01-800235764-800244844-RR,2005-M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01,RR,1,,800235764,Jean-Claude Gasigwa,RWA,21.647,800244844,Cheikh Salif Kante,SEN,16.282,63 76(6),2,0,13,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G4-EPA-A-B-M-RWA-SEN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G3-AM-A-M-HAI-LCA-01-800180569-800181498-RR,2005-M-DC-2005-G3-AM-A-M-HAI-LCA-01,RR,1,,800180569,Bertrand Madsen,HAI,32.79,800181498,Vernon Lewis,LCA,39.341,63 64,2,0,12,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G3-AM-A-M-HAI-LCA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G3-AM-A-M-HAI-LCA-01-800245826-800208411-RR,2005-M-DC-2005-G3-AM-A-M-HAI-LCA-01,RR,2,,800245826,Olivier Sajous,USA,18.077,800208411,Sirsean Arlain,LCA,24.169,62 61,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G3-AM-A-M-HAI-LCA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G3-AM-A-M-HON-BOL-01-800208682-800236933-RR,2005-M-DC-2005-G3-AM-A-M-HON-BOL-01,RR,1,,800208682,Jose Antelo,BOL,22.663,800236933,Jose Moncada,HON,17.376,75 62,2,0,13,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G3-AM-A-M-HON-BOL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-M-DC-2005-G3-AM-A-M-HON-BOL-01-800225368-800195601-RR,2005-M-DC-2005-G3-AM-A-M-HON-BOL-01,RR,2,,800225368,Mauricio Estivariz,BOL,18.481,800195601,Calton Alvarez,HON,30.145,62 75,2,0,13,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2005-G3-AM-A-M-HON-BOL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
