id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2011-M-DC-2011-G1-AM-M-MEX-CAN-01-800234945-800211720-RR,2011-M-DC-2011-G1-AM-M-MEX-CAN-01,RR,1,,800234945,Daniel Garza,MEX,25.905,800211720,Frank Dancevic,CAN,26.44,26 46 62 63 64,3,2,24,21,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-MEX-CAN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-MEX-CAN-01-800247190-800266221-RR,2011-M-DC-2011-G1-AM-M-MEX-CAN-01,RR,5,,800247190,Peter Polansky,CAN,22.72,800266221,Manuel Sanchez,MEX,20.163,64 61,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-MEX-CAN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-MEX-CAN-01-800254537-800234945-RR,2011-M-DC-2011-G1-AM-M-MEX-CAN-01,RR,4,,800254537,Milos Raonic,CAN,20.188,800234945,Daniel Garza,MEX,25.905,75 63 62,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-MEX-CAN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-MEX-CAN-01-800254537-800266221-RR,2011-M-DC-2011-G1-AM-M-MEX-CAN-01,RR,2,,800254537,Milos Raonic,CAN,20.188,800266221,Manuel Sanchez,MEX,20.163,62 62 61,3,0,18,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-MEX-CAN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-URU-COL-01-800217401-800211932-RR,2011-M-DC-2011-G1-AM-M-URU-COL-01,RR,5,,800217401,Marcel Felder,URU,26.653,800211932,Alejandro Falla,COL,27.306,76(3) 67(2) 63,2,1,19,16,1,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-URU-COL-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-URU-COL-01-800223764-800211932-RR,2011-M-DC-2011-G1-AM-M-URU-COL-01,RR,1,,800223764,Pablo Cuevas,URU,25.174,800211932,Alejandro Falla,COL,27.306,26 61 62 64,3,1,20,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-URU-COL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-URU-COL-01-800223764-800238659-RR,2011-M-DC-2011-G1-AM-M-URU-COL-01,RR,4,,800223764,Pablo Cuevas,URU,25.174,800238659,Santiago Giraldo,COL,23.271,62 63 64,3,0,18,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-URU-COL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AM-M-URU-COL-01-800238659-800285451-RR,2011-M-DC-2011-G1-AM-M-URU-COL-01,RR,2,,800238659,Santiago Giraldo,COL,23.271,800285451,Martin Cuevas,URU,19.139,62 60 62,3,0,18,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AM-M-URU-COL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AO-M-NZL-UZB-01-800216831-800205962-RR,2011-M-DC-2011-G1-AO-M-NZL-UZB-01,RR,4,,800216831,Artem Sitak,NZL,25.072,800205962,Murad Inoyatov,UZB,26.309,61 67(5) 63,2,1,18,11,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AO-M-NZL-UZB-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-M-DC-2011-G1-AO-M-NZL-UZB-01-800221153-800223418-RR,2011-M-DC-2011-G1-AO-M-NZL-UZB-01,RR,2,,800221153,Denis Istomin,UZB,24.491,800223418,Rubin Statham,NZL,23.86,62 63 63,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2011-G1-AO-M-NZL-UZB-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
