id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2015-M-DC-2015-G1-AM-M-BAR-DOM-01-800202586-800277973-RR,2015-M-DC-2015-G1-AM-M-BAR-DOM-01,RR,1,,800202586,Victor Estrella Burgos,DOM,34.594,800277973,Seanon Williams,BAR,24.072,61 61 61,3,0,18,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-BAR-DOM-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-BAR-DOM-01-800202586-800656155-RR,2015-M-DC-2015-G1-AM-M-BAR-DOM-01,RR,4,,800202586,Victor Estrella Burgos,DOM,34.594,800656155,Darian King,BAR,22.862,64 64 62,3,0,18,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-BAR-DOM-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-BAR-DOM-01-800269755-800224161-RR,2015-M-DC-2015-G1-AM-M-BAR-DOM-01,RR,5,,800269755,Jose Hernandez-Fernandez,DOM,24.981,800224161,Haydn Lewis,BAR,29.177,57 61 62 62,3,1,23,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-BAR-DOM-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-BAR-DOM-01-800656155-800269755-RR,2015-M-DC-2015-G1-AM-M-BAR-DOM-01,RR,2,,800656155,Darian King,BAR,22.862,800269755,Jose Hernandez-Fernandez,DOM,24.981,61 63 60,3,0,18,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-BAR-DOM-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-COL-URU-01-800223764-800238659-RR,2015-M-DC-2015-G1-AM-M-COL-URU-01,RR,4,,800223764,Pablo Cuevas,URU,29.18,800238659,Santiago Giraldo,COL,27.276,62 63 63,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-COL-URU-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-COL-URU-01-800238659-800285451-RR,2015-M-DC-2015-G1-AM-M-COL-URU-01,RR,2,,800238659,Santiago Giraldo,COL,27.276,800285451,Martin Cuevas,URU,23.145,76(1) 36 63 63,3,1,22,18,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-COL-URU-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-COL-URU-01-800254610-800223764-RR,2015-M-DC-2015-G1-AM-M-COL-URU-01,RR,1,,800254610,Alejandro Gonzalez,COL,26.08,800223764,Pablo Cuevas,URU,29.18,26 64 46 61 64,3,2,24,21,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-COL-URU-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AM-M-COL-URU-01-800254610-800285451-RR,2015-M-DC-2015-G1-AM-M-COL-URU-01,RR,5,,800254610,Alejandro Gonzalez,COL,26.08,800285451,Martin Cuevas,URU,23.145,64 63 61,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AM-M-COL-URU-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AO-M-CHN-NZL-01-800223418-800238810-RR,2015-M-DC-2015-G1-AO-M-CHN-NZL-01,RR,4,,800223418,Rubin Statham,NZL,27.865,800238810,Zhe Li,CHN,28.462,63 64 64,3,0,18,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AO-M-CHN-NZL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-M-DC-2015-G1-AO-M-CHN-NZL-01-800227522-800276980-RR,2015-M-DC-2015-G1-AO-M-CHN-NZL-01,RR,2,,800227522,Michael Venus,NZL,27.389,800276980,Ze Zhang,CHN,24.672,61 64 36 67(3) 97,3,2,30,25,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2015-G1-AO-M-CHN-NZL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
