id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2002-M-DC-2002-G1-AMN-M-CAN-MEX-01-l334-g551-RR,2002-M-DC-2002-G1-AMN-M-CAN-MEX-01,RR,5,,l334,Simon Larose,CAN,23.612,g551,Santiago Gonzalez,MEX,18.956,,,67(5) 62 62,2,1,18,11,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-CAN-MEX-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AMN-M-CAN-MEX-01-n291-h346-RR,2002-M-DC-2002-G1-AMN-M-CAN-MEX-01,RR,1,,n291,Frederic Niemeyer,CAN,25.79,h346,Alejandro Hernandez,MEX,24.352,,,57 63 64 75,3,1,24,19,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-CAN-MEX-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AMN-M-VEN-BAH-01-d353-k171-RR,2002-M-DC-2002-G1-AMN-M-VEN-BAH-01,RR,4,,d353,Jose De Armas,VEN,20.87,k171,Mark Knowles,BAH,30.427,,,63 57 63 76(3),3,1,24,19,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-VEN-BAH-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AMN-M-VEN-BAH-01-d353-m471-RR,2002-M-DC-2002-G1-AMN-M-VEN-BAH-01,RR,1,,d353,Jose De Armas,VEN,20.87,m471,Mark Merklein,BAH,29.612,,,64 36 62 63,3,1,21,15,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-VEN-BAH-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AMN-M-VEN-BAH-01-k171-s585-RR,2002-M-DC-2002-G1-AMN-M-VEN-BAH-01,RR,2,,k171,Mark Knowles,BAH,30.427,s585,Jimy Szymanski,VEN,26.397,,,61 63 63,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-VEN-BAH-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AMN-M-VEN-BAH-01-s585-m471-RR,2002-M-DC-2002-G1-AMN-M-VEN-BAH-01,RR,5,,s585,Jimy Szymanski,VEN,26.397,m471,Mark Merklein,BAH,29.612,,,64 63 61,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AMN-M-VEN-BAH-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-INA-NZL-01-h297-s537-RR,2002-M-DC-2002-G1-AO-M-INA-NZL-01,RR,2,,h297,Alistair Hunt,NZL,29.241,s537,Suwandi Suwandi,INA,25.465,,,46 75 46 62 63,3,2,27,22,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-INA-NZL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-INA-NZL-01-h436-n267-RR,2002-M-DC-2002-G1-AO-M-INA-NZL-01,RR,1,,h436,Peter Handoyo,INA,22.489,n267,Mark Nielsen,NZL,24.333,,,26 75 63 64,3,1,21,18,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-INA-NZL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-INA-NZL-01-h436-w365-RR,2002-M-DC-2002-G1-AO-M-INA-NZL-01,RR,5,,h436,Peter Handoyo,INA,22.489,w365,Daniel Willman,NZL,26.889,,,75 63,2,0,13,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-INA-NZL-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-INA-NZL-01-n267-s537-RR,2002-M-DC-2002-G1-AO-M-INA-NZL-01,RR,4,,n267,Mark Nielsen,NZL,24.333,s537,Suwandi Suwandi,INA,25.465,,,61 64 36 63,3,1,21,14,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-INA-NZL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-JPN-KOR-01-l311-m531-RR,2002-M-DC-2002-G1-AO-M-JPN-KOR-01,RR,2,,l311,Hyung-Taik Lee,KOR,26.096,m531,Gouichi Motomura,JPN,28.12,,,63 64 61,3,0,18,8,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-JPN-KOR-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-M-DC-2002-G1-AO-M-JPN-KOR-01-m531-y033-RR,2002-M-DC-2002-G1-AO-M-JPN-KOR-01,RR,5,,m531,Gouichi Motomura,JPN,28.12,y033,Yong-Il Yoon,KOR,28.376,,,36 62 62 63,3,1,21,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2002-G1-AO-M-JPN-KOR-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
