id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2007-M-DC-2007-G1-AM-M-COL-CAN-01-800183895-800211932-RR,2007-M-DC-2007-G1-AM-M-COL-CAN-01,RR,2,,800183895,Frederic Niemeyer,CAN,30.793,800211932,Alejandro Falla,COL,23.236,60 76(5) 63,3,0,19,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-COL-CAN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-COL-CAN-01-800211720-800207642-RR,2007-M-DC-2007-G1-AM-M-COL-CAN-01,RR,4,,800211720,Frank Dancevic,CAN,22.37,800207642,Pablo Gonzalez,COL,24.602,61 75,2,0,13,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-COL-CAN-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-COL-CAN-01-800211720-800238659-RR,2007-M-DC-2007-G1-AM-M-COL-CAN-01,RR,1,,800211720,Frank Dancevic,CAN,22.37,800238659,Santiago Giraldo,COL,19.201,62 64 63,3,0,18,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-COL-CAN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-COL-CAN-01-800247190-800216559-RR,2007-M-DC-2007-G1-AM-M-COL-CAN-01,RR,5,,800247190,Peter Polansky,CAN,18.65,800216559,Carlos Salamanca,COL,23.553,76(4) 64,2,0,13,10,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-COL-CAN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-VEN-PER-01-800194600-800209129-RR,2007-M-DC-2007-G1-AM-M-VEN-PER-01,RR,1,,800194600,Luis Horna,PER,26.403,800209129,Jhonnatan Medina-alvarez,VEN,25.075,63 64 26 64,3,1,20,17,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-VEN-PER-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-VEN-PER-01-800198533-800191134-RR,2007-M-DC-2007-G1-AM-M-VEN-PER-01,RR,2,,800198533,Ivan Miranda,PER,26.919,800191134,Yohny Romero,VEN,28.193,61 62 61,3,0,18,4,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-VEN-PER-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-VEN-PER-01-800209129-800218580-RR,2007-M-DC-2007-G1-AM-M-VEN-PER-01,RR,5,,800209129,Jhonnatan Medina-alvarez,VEN,25.075,800218580,Matias Silva,PER,22.857,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-VEN-PER-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AM-M-VEN-PER-01-800242125-800264935-RR,2007-M-DC-2007-G1-AM-M-VEN-PER-01,RR,4,,800242125,Roman Recarte,VEN,19.672,800264935,Mauricio Echazu,PER,18.051,46 75 62,2,1,17,13,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AM-M-VEN-PER-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AO-M-JPN-CHN-01-800209495-800253101-RR,2007-M-DC-2007-G1-AO-M-JPN-CHN-01,RR,5,,800209495,Peng Sun,CHN,23.306,800253101,Yuichi Sugita,JPN,18.392,63 76(1),2,0,13,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AO-M-JPN-CHN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-M-DC-2007-G1-AO-M-JPN-CHN-01-800210999-800209495-RR,2007-M-DC-2007-G1-AO-M-JPN-CHN-01,RR,2,,800210999,Go Soeda,JPN,22.427,800209495,Peng Sun,CHN,23.306,64 64 76(7),3,0,19,14,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2007-G1-AO-M-JPN-CHN-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
