id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2017-M-DC-2017-G1-AM-M-DOM-CHI-01-800327443-800269755-RR,2017-M-DC-2017-G1-AM-M-DOM-CHI-01,RR,1,,800327443,Nicolas Jarry,CHI,21.311,800269755,Jose Hernandez-Fernandez,DOM,26.889,63 75 62,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-DOM-CHI-01_1.json,107,10,0,52,84,39,52,21,32,2,3,105,84,21,49,12,28,5,8,,,33,77,93,161,0,0,0,0,0,,,,,1,2,49,77,28,49,16,28,3,8,93,77,13,52,11,32,1,3,,,24,84,68,161,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-DOM-CHI-01-800327443-800438686-RR,2017-M-DC-2017-G1-AM-M-DOM-CHI-01,RR,5,,800327443,Nicolas Jarry,CHI,21.311,800438686,Nick Hardt,DOM,16.37,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-DOM-CHI-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-M-DC-2017-G1-AM-M-DOM-CHI-01-800331105-800295031-RR,2017-M-DC-2017-G1-AM-M-DOM-CHI-01,RR,2,,800331105,Cristian Garin,CHI,20.677,800295031,Roberto Cid Subervi,DOM,23.427,57 61 62 62,3,1,23,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-DOM-CHI-01_2.json,163,6,4,61,105,43,61,23,44,2,6,128,105,26,64,36,57,10,18,,,62,121,128,226,0,0,0,0,0,,,,,2,14,64,121,38,64,21,57,8,18,142,121,18,61,21,44,4,6,,,39,105,98,226,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-DOM-CHI-01-800384023-800337764-RR,2017-M-DC-2017-G1-AM-M-DOM-CHI-01,RR,4,,800384023,Tomas Barrios Vera,CHI,19.147,800337764,Jose Olivares,DOM,20.069,76(8) 76(2),2,0,14,12,2,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-DOM-CHI-01_4.json,105,2,4,50,77,40,50,19,27,2,3,96,77,12,54,19,36,1,5,,,31,90,90,167,0,0,0,0,0,,,,,6,5,54,90,42,54,17,36,4,5,107,90,10,50,8,27,1,3,,,18,77,77,167,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-PER-ECU-01-800261617-800301361-RR,2017-M-DC-2017-G1-AM-M-PER-ECU-01,RR,5,,800261617,Gonzalo Escobar,ECU,28.037,800301361,Alexander Merino,PER,24.424,63 60,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-PER-ECU-01_5.json,46,2,2,23,37,20,23,12,14,0,0,49,37,10,24,13,19,4,7,,,23,43,55,80,0,0,0,0,0,,,,,2,3,24,43,14,24,6,19,3,7,49,43,3,23,2,14,0,0,,,5,37,25,80,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-PER-ECU-01-800265063-800344334-RR,2017-M-DC-2017-G1-AM-M-PER-ECU-01,RR,1,,800265063,Emilio Gomez,ECU,25.182,800344334,Juan Pablo Varillas,PER,21.325,63 60 67(5) 26 63,3,2,26,19,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-PER-ECU-01_1.json,214,13,7,92,149,68,92,28,57,7,10,177,149,30,84,30,63,6,12,,,60,147,156,296,0,0,0,0,0,,,,,4,5,84,147,54,84,33,63,6,12,180,147,24,92,29,57,3,10,,,53,149,140,296,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-PER-ECU-01-800282440-800264935-RR,2017-M-DC-2017-G1-AM-M-PER-ECU-01,RR,2,,800282440,Roberto Quiroz,ECU,24.946,800264935,Mauricio Echazu,PER,28.034,57 64 61 63,3,1,23,15,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-PER-ECU-01_2.json,164,11,5,68,113,49,68,26,45,4,6,139,113,30,83,15,26,6,8,,,45,109,120,222,0,0,0,0,0,,,,,1,4,83,109,53,83,11,26,2,8,120,109,19,68,19,45,2,6,,,38,113,102,222,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AM-M-PER-ECU-01-800282440-800344334-RR,2017-M-DC-2017-G1-AM-M-PER-ECU-01,RR,4,,800282440,Roberto Quiroz,ECU,24.946,800344334,Juan Pablo Varillas,PER,21.325,64 76(6),2,0,13,10,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AM-M-PER-ECU-01_4.json,90,6,2,35,61,34,35,16,26,0,0,77,61,11,45,17,36,1,5,,,28,81,78,142,0,0,0,0,0,,,,,2,4,45,81,34,45,19,36,4,5,100,81,1,35,10,26,0,0,,,11,61,64,142,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AO-M-NZL-IND-01-800275250-800223418-RR,2017-M-DC-2017-G1-AO-M-NZL-IND-01,RR,5,,800275250,Yuki Bhambri,IND,24.58,800223418,Rubin Statham,NZL,29.774,75 36 64,2,1,16,15,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AO-M-NZL-IND-01_5.json,115,6,8,57,91,38,57,19,34,3,6,110,91,16,62,18,31,4,7,,,34,93,91,184,0,0,0,0,0,,,,,7,6,62,93,46,62,13,31,3,7,106,93,19,57,15,34,3,6,,,34,91,93,184,0,0,0,0,0,,,,
2017-M-DC-2017-G1-AO-M-NZL-IND-01-800275250-800266244-RR,2017-M-DC-2017-G1-AO-M-NZL-IND-01,RR,1,,800275250,Yuki Bhambri,IND,24.58,800266244,Finn Tearney,NZL,26.352,64 64 63,3,0,18,11,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2017-G1-AO-M-NZL-IND-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
