id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2006-M-DC-2006-G1-AM-M-PER-BRA-01-800194600-800204633-RR,2006-M-DC-2006-G1-AM-M-PER-BRA-01,RR,4,,800194600,Luis Horna,PER,25.405,800204633,Flavio Saretta,BRA,25.618,67(6) 63 62 62,3,1,24,14,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-PER-BRA-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-PER-BRA-01-800194600-800204641-RR,2006-M-DC-2006-G1-AM-M-PER-BRA-01,RR,2,,800194600,Luis Horna,PER,25.405,800204641,Ricardo Mello,BRA,25.137,64 64 64,3,0,18,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-PER-BRA-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-PER-BRA-01-800204633-800198533-RR,2006-M-DC-2006-G1-AM-M-PER-BRA-01,RR,1,,800204633,Flavio Saretta,BRA,25.618,800198533,Ivan Miranda,PER,25.922,62 62 63,3,0,18,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-PER-BRA-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-PER-BRA-01-800204641-800198533-RR,2006-M-DC-2006-G1-AM-M-PER-BRA-01,RR,5,,800204641,Ricardo Mello,BRA,25.137,800198533,Ivan Miranda,PER,25.922,76(4) 36 64 62,3,1,22,18,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-PER-BRA-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-VEN-MEX-01-800204515-800191134-RR,2006-M-DC-2006-G1-AM-M-VEN-MEX-01,RR,2,,800204515,Miguel Gallardo-valles,MEX,24.588,800191134,Yohny Romero,VEN,27.196,64 46 36 63 1210,3,2,31,29,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-VEN-MEX-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-VEN-MEX-01-800204893-800181619-RR,2006-M-DC-2006-G1-AM-M-VEN-MEX-01,RR,4,,800204893,Bruno Echagaray,MEX,22.755,800181619,Jimy Szymanski,VEN,30.403,63 62,2,0,12,5,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-VEN-MEX-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-VEN-MEX-01-800209129-800204515-RR,2006-M-DC-2006-G1-AM-M-VEN-MEX-01,RR,5,(RET),800209129,Jhonnatan Medina-alvarez,VEN,24.077,800204515,Miguel Gallardo-valles,MEX,24.588,61 Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AM-M-VEN-MEX-01-800209804-800203292-RR,2006-M-DC-2006-G1-AM-M-VEN-MEX-01,RR,1,,800209804,Santiago Gonzalez,MEX,22.962,800203292,Jose De Armas,VEN,24.876,61 60 57 64,3,1,23,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AM-M-VEN-MEX-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AO-M-CHN-JPN-01-800182710-800199124-RR,2006-M-DC-2006-G1-AO-M-CHN-JPN-01,RR,1,,800182710,Gouichi Motomura,JPN,32.126,800199124,Yu Jr. Wang,CHN,24.524,63 64 36 46 63,3,2,25,22,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AO-M-CHN-JPN-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-M-DC-2006-G1-AO-M-CHN-JPN-01-800195091-800209495-RR,2006-M-DC-2006-G1-AO-M-CHN-JPN-01,RR,5,,800195091,Toshihide Matsui,JPN,27.809,800209495,Peng Sun,CHN,22.309,60 46 63,2,1,16,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2006-G1-AO-M-CHN-JPN-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
