id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2010-M-DC-2010-G1-AM-M-CAN-COL-01-800216559-800247190-RR,2010-M-DC-2010-G1-AM-M-CAN-COL-01,RR,1,,800216559,Carlos Salamanca,COL,26.626,800247190,Peter Polansky,CAN,21.723,64 63 62,3,0,18,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-CAN-COL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-CAN-COL-01-800234134-800254537-RR,2010-M-DC-2010-G1-AM-M-CAN-COL-01,RR,5,,800234134,Juan-Sebastian Cabal,COL,23.862,800254537,Milos Raonic,CAN,19.19,67(6) 63 64,2,1,18,14,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-CAN-COL-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-CAN-COL-01-800238659-800254537-RR,2010-M-DC-2010-G1-AM-M-CAN-COL-01,RR,2,,800238659,Santiago Giraldo,COL,22.274,800254537,Milos Raonic,CAN,19.19,75 46 64 64,3,1,23,19,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-CAN-COL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-CAN-COL-01-800238659-800276927-RR,2010-M-DC-2010-G1-AM-M-CAN-COL-01,RR,4,,800238659,Santiago Giraldo,COL,22.274,800276927,Steven Diez,CAN,18.967,63 63 63,3,0,18,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-CAN-COL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-DOM-URU-01-800188690-800285451-RR,2010-M-DC-2010-G1-AM-M-DOM-URU-01,RR,4,,800188690,Jhonson Garcia,DOM,29.427,800285451,Martin Cuevas,URU,18.142,61 62,2,0,12,3,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-DOM-URU-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-DOM-URU-01-800217401-800202586-RR,2010-M-DC-2010-G1-AM-M-DOM-URU-01,RR,2,,800217401,Marcel Felder,URU,25.655,800202586,Victor Estrella Burgos,DOM,29.591,06 36 64 63 62,3,2,21,21,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-DOM-URU-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-DOM-URU-01-800223764-800269755-RR,2010-M-DC-2010-G1-AM-M-DOM-URU-01,RR,1,,800223764,Pablo Cuevas,URU,24.177,800269755,Jose Hernandez-Fernandez,DOM,19.978,62 75 63,3,0,19,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-DOM-URU-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AM-M-DOM-URU-01-800263215-800212270-RR,2010-M-DC-2010-G1-AM-M-DOM-URU-01,RR,5,,800263215,Ariel Behar,URU,20.314,800212270,Jesus Francisco Felix,DOM,29.905,64 67(3) 62,2,1,18,13,0,1,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AM-M-DOM-URU-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AO-M-AUS-TPE-01-800199148-800229004-RR,2010-M-DC-2010-G1-AO-M-AUS-TPE-01,RR,2,,800199148,Peter Luczak,AUS,30.513,800229004,Chu-Huan Yi,TPE,22.513,46 63 62 63,3,1,22,14,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AO-M-AUS-TPE-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-M-DC-2010-G1-AO-M-AUS-TPE-01-800199148-800266223-RR,2010-M-DC-2010-G1-AO-M-AUS-TPE-01,RR,4,,800199148,Peter Luczak,AUS,30.513,800266223,Tsung-Hua Yang,TPE,18.935,63 63,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2010-G1-AO-M-AUS-TPE-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
