id,tournament_id,stadie_id,match_order,match_ret,winner_id,winner_name,winner_citizenship,winner_age,loser_id,loser_name,loser_citizenship,loser_age,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2012-M-DC-2012-G1-AM-M-ECU-COL-01-800234134-800292512-RR,2012-M-DC-2012-G1-AM-M-ECU-COL-01,RR,5,,800234134,Juan-Sebastian Cabal,COL,25.793,800292512,Diego Hidalgo,ECU,18.811,62 75,2,0,13,7,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-ECU-COL-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-ECU-COL-01-800238659-800245974-RR,2012-M-DC-2012-G1-AM-M-ECU-COL-01,RR,4,,800238659,Santiago Giraldo,COL,24.204,800245974,Julio-Cesar Campozano,ECU,26.026,63 64 63,3,0,18,10,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-ECU-COL-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-ECU-COL-01-800238659-800265128-RR,2012-M-DC-2012-G1-AM-M-ECU-COL-01,RR,2,,800238659,Santiago Giraldo,COL,24.204,800265128,Ivan Endara,ECU,23.932,62 46 60 61,3,1,22,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-ECU-COL-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-ECU-COL-01-800245974-800238642-RR,2012-M-DC-2012-G1-AM-M-ECU-COL-01,RR,1,,800245974,Julio-Cesar Campozano,ECU,26.026,800238642,Robert Farah,COL,25.056,76(4) 64 62,3,0,19,12,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-ECU-COL-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-PER-URU-01-800217401-800264935-RR,2012-M-DC-2012-G1-AM-M-PER-URU-01,RR,2,,800217401,Marcel Felder,URU,27.586,800264935,Mauricio Echazu,PER,23.053,63 62 64,3,0,18,9,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-PER-URU-01_2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-PER-URU-01-800217401-800291452-RR,2012-M-DC-2012-G1-AM-M-PER-URU-01,RR,4,,800217401,Marcel Felder,URU,27.586,800291452,Duilio Beretta,PER,19.959,26 62 63 61,3,1,20,12,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-PER-URU-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AM-M-PER-URU-01-800285451-800291452-RR,2012-M-DC-2012-G1-AM-M-PER-URU-01,RR,1,,800285451,Martin Cuevas,URU,20.072,800291452,Duilio Beretta,PER,19.959,76(3) 63 61,3,0,19,10,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AM-M-PER-URU-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AO-M-CHN-AUS-01-800199746-800276980-RR,2012-M-DC-2012-G1-AO-M-CHN-AUS-01,RR,1,,800199746,Lleyton Hewitt,AUS,30.962,800276980,Ze Zhang,CHN,21.599,62 61 76(4),3,0,19,9,1,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AO-M-CHN-AUS-01_1.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AO-M-CHN-AUS-01-800223064-800280490-RR,2012-M-DC-2012-G1-AO-M-CHN-AUS-01,RR,5,,800223064,Chris Guccione,AUS,26.529,800280490,Di Wu,CHN,20.405,62 64,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AO-M-CHN-AUS-01_5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-M-DC-2012-G1-AO-M-CHN-AUS-01-800255653-800261387-RR,2012-M-DC-2012-G1-AO-M-CHN-AUS-01,RR,4,,800255653,Matthew Ebden,AUS,24.206,800261387,Ya-Nan Ma,CHN,21.677,64 62,2,0,12,6,0,0,https://www.daviscup.com/cup/livescores/daviscup/M-DC-2012-G1-AO-M-CHN-AUS-01_4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
