id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2008-2205-a678-v339-R32,2008-2205,R32,9,,a678,Kevin Anderson,RSA,21.618,v339,Simone Vagnozzi,ITA,24.586,,,67(5) 61 63,2,1,18,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-b752-d469-R32,2008-2205,R32,1,,b752,Stephane Bohli,SUI,24.432,d469,Nicolas Devilder,FRA,27.766,,1,62 76(3),2,0,13,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-b929-o195-R32,2008-2205,R32,5,,b929,Alex Bogdanovic,GBR,23.607,o195,Thomas Oger,MON,27.774,5,,62 76(3),2,0,13,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-c723-o133-R32,2008-2205,R32,2,,c723,Flavio Cipolla,ITA,24.196,o133,Noam Okun,ISR,29.706,2,,62 64,2,0,12,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-g695-k358-R32,2008-2205,R32,3,,g695,Augustin Gensse,FRA,24.389,k358,Kevin Kim,USA,29.43,,3,64 46 62,2,1,16,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-g753-s760-R32,2008-2205,R32,4,,g753,David Guez,FRA,25.061,s760,Norikazu Sugiyama,JPN,30.422,4,WC,63 61,2,0,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-h469-ma38-R32,2008-2205,R32,7,,h469,KJ Hippensteel,USA,27.645,ma38,Jan Mertl,CZE,25.991,,7,64 75,2,0,13,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-i165-d707-R32,2008-2205,R32,10,,i165,Denis Istomin,UZB,21.314,d707,Aurelien David,FRA,20.408,,Q,61 61,2,0,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-j290-pa95-R32,2008-2205,R32,11,,j290,Scoville Jenkins,USA,21.271,pa95,Philippe Poignon,FRA,33.846,,Q,64 61,2,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-l386-a922-R32,2008-2205,R32,12,,l386,Jean-Rene Lisnard,MON,28.266,a922,Anthony Azcoaga,FRA,27.766,WC,Q,60 60,2,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-l503-ca12-R32,2008-2205,R32,6,,l503,Paolo Lorenzi,ITA,26.043,ca12,Jeremy Chardy,FRA,20.884,,6,36 75 63,2,1,16,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-n604-ra28-R32,2008-2205,R32,13,,n604,Nicolas N'Godrela,FRA,23.233,ra28,Yvonick Rivat,FRA,33.279,WC,Q,61 61,2,0,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2205-o264-k688-R32,2008-2205,R32,14,,o264,Josselin Ouanna,FRA,21.712,k688,Daniel King-Turner,NZL,23.626,,,64 62,2,0,12,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
