id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2004-451-a226-e113-R32,2004-451,R32,9,,a226,Hicham Arazi,MAR,30.212,e113,Thomas Enqvist,SWE,29.811,,WC,76(1) 26 63,2,1,15,15,1,0,http://www.atpworldtour.com/en/scores/2004/451/MS018/match-stats?isLive=False,129,10,1,78,111,57,78,15,33,8,11,72,111,15,67,24,37,2,9,15,14,39,104,111,215,,,,,,,,,,15,8,67,104,52,67,13,37,7,9,65,104,21,78,18,33,3,11,14,15,39,111,104,215,,,,,,,,,
2004-451-b446-s694-R32,2004-451,R32,10,(RET),b446,Jonas Bjorkman,SWE,31.784,s694,Radek Stepanek,CZE,25.107,,,63 30 (RET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-451-c478-v254-R32,2004-451,R32,8,,c478,Agustin Calleri,ARG,27.309,v254,Filippo Volandri,ITA,22.333,8,,64 46 64,2,1,16,14,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS019/match-stats?isLive=False,117,4,1,60,79,41,60,13,19,0,2,54,79,17,69,14,22,3,7,15,15,31,91,85,170,,,,,,,,,,2,7,69,91,52,69,8,22,4,7,60,91,19,60,6,19,2,2,15,15,25,79,85,170,,,,,,,,,
2004-451-c514-r397-R32,2004-451,R32,11,,c514,Juan Ignacio Chela,ARG,24.349,r397,Olivier Rochus,BEL,22.965,,,61 36 75,2,1,16,12,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS029/match-stats?isLive=False,139,5,1,57,96,34,57,21,39,2,6,55,96,23,54,18,34,6,12,14,14,41,88,96,184,,,,,,,,,,0,4,54,88,31,54,16,34,6,12,47,88,23,57,18,39,4,6,14,14,41,96,88,184,,,,,,,,,
2004-451-e140-e121-R32,2004-451,R32,6,,e140,Nicolas Escude,FRA,27.755,e121,Younes El Aynaoui,MAR,32.314,WC,6,63 60,2,0,12,3,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS023/match-stats?isLive=False,66,10,2,26,39,23,26,9,13,0,0,32,39,11,27,16,25,4,8,8,7,27,52,59,91,,,,,,,,,,1,5,27,52,16,27,9,25,4,8,25,52,3,26,4,13,0,0,7,8,7,39,32,91,,,,,,,,,
2004-451-g379-h366-R32,2004-451,R32,4,,g379,Sebastien Grosjean,FRA,25.602,h366,Markus Hantschk,GER,26.129,4,Q,61 75,2,0,13,6,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS027/match-stats?isLive=False,93,6,1,26,61,20,26,19,35,3,5,39,61,17,40,14,23,5,10,10,9,31,63,70,124,,,,,,,,,,2,2,40,63,23,40,9,23,5,10,32,63,6,26,16,35,2,5,9,10,22,61,54,124,,,,,,,,,
2004-451-h336-s677-R32,2004-451,R32,7,,h336,Tim Henman,GBR,29.33,s677,David Sanchez,ESP,25.709,7,,64 60,2,0,12,4,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS028/match-stats?isLive=False,75,3,1,31,47,23,31,9,16,1,2,32,47,20,38,18,28,5,15,8,8,38,66,70,113,,,,,,,,,,0,0,38,66,18,38,10,28,10,15,28,66,8,31,7,16,1,2,8,8,15,47,43,113,,,,,,,,,
2004-451-h380-k346-R32,2004-451,R32,12,,h380,Ivo Heuberger,SUI,27.879,k346,Sultan Khalfan,QAT,26.803,Q,WC,62 62,2,0,12,4,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS022/match-stats?isLive=False,61,6,0,33,44,22,33,7,11,2,4,29,44,20,36,13,21,6,13,8,8,33,57,62,101,,,,,,,,,,2,2,36,57,16,36,8,21,7,13,24,57,11,33,4,11,2,4,8,8,15,44,39,101,,,,,,,,,
2004-451-k310-p338-R32,2004-451,R32,3,,k310,Stefan Koubek,AUT,27.008,p338,Mark Philippoussis,AUS,27.161,,3,36 61 64,2,1,15,11,0,0,http://www.atpworldtour.com/en/scores/2004/451/MS020/match-stats?isLive=False,91,4,2,48,76,35,48,17,28,2,4,52,76,18,54,12,20,4,7,13,13,30,74,82,150,,,,,,,,,,9,3,54,74,36,54,8,20,3,7,44,74,13,48,11,28,2,4,13,13,24,76,68,150,,,,,,,,,
2004-451-l311-v211-R32,2004-451,R32,13,(RET),l311,Hyung-Taik Lee,KOR,28.005,v211,Vladimir Voltchkov,BLR,25.744,,Q,12 (RET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
