id,name,year,code,url,slug,location,sgl_draw_url,sgl_pdf_url,indoor_outdoor,surface,series_id,start_dtm,finish_dtm,sgl_draw_qty,dbl_draw_qty,prize_money,prize_currency,country_code
1999-398,Cherbourg,1999,398,http://www.atpworldtour.com/en/scores/archive/cherbourg/398/1999/results,cherbourg,Cherbourg,http://www.atpworldtour.com/en/scores/archive/cherbourg/398/1999/draws,http://www.protennislive.com/posting/1999/398/mds.pdf,Indoor,Hard,ch,19990222,,32,32,37500,$,FRA
1999-408,London,1999,408,http://www.atpworldtour.com/en/scores/archive/london/408/1999/results,london,London,http://www.atpworldtour.com/en/scores/archive/london/408/1999/draws,http://www.protennislive.com/posting/1999/408/mds.pdf,Indoor,Carpet,atp,19990222,,32,32,814250,$,GBR
1999-491,Laguna Hills,1999,491,http://www.atpworldtour.com/en/scores/archive/laguna-hills/491/1999/results,laguna-hills,Laguna Hills,http://www.atpworldtour.com/en/scores/archive/laguna-hills/491/1999/draws,http://www.protennislive.com/posting/1999/491/mds.pdf,Outdoor,Hard,ch,19990222,,32,32,50000,$,USA
1999-433,Scottsdale,1999,433,http://www.atpworldtour.com/en/scores/archive/scottsdale/433/1999/results,scottsdale,Scottsdale,http://www.atpworldtour.com/en/scores/archive/scottsdale/433/1999/draws,http://www.protennislive.com/posting/1999/433/mds.pdf,Outdoor,Hard,atp,19990301,,32,32,350000,$,USA
1999-481,Copenhagen,1999,481,http://www.atpworldtour.com/en/scores/archive/copenhagen/481/1999/results,copenhagen,Copenhagen,http://www.atpworldtour.com/en/scores/archive/copenhagen/481/1999/draws,http://www.protennislive.com/posting/1999/481/mds.pdf,Indoor,Carpet,atp,19990301,,32,32,240000,$,DEN
1999-493,Grenoble,1999,493,http://www.atpworldtour.com/en/scores/archive/grenoble/493/1999/results,grenoble,Grenoble,http://www.atpworldtour.com/en/scores/archive/grenoble/493/1999/draws,http://www.protennislive.com/posting/1999/493/mds.pdf,Indoor,Hard,ch,19990301,,32,32,37500,$,FRA
1999-58,Magdeburg,1999,58,http://www.atpworldtour.com/en/scores/archive/magdeburg/58/1999/results,magdeburg,Magdeburg,http://www.atpworldtour.com/en/scores/archive/magdeburg/58/1999/draws,http://www.protennislive.com/posting/1999/58/mds.pdf,Indoor,Carpet,ch,19990301,,32,32,25000,$,GER
1999-740,Singapore,1999,740,http://www.atpworldtour.com/en/scores/archive/singapore/740/1999/results,singapore,Singapore,http://www.atpworldtour.com/en/scores/archive/singapore/740/1999/draws,http://www.protennislive.com/posting/1999/740/mds.pdf,Outdoor,Hard,ch,19990301,,32,32,50000,$,SGP
1999-404,ATP Masters 1000 Indian Wells,1999,404,http://www.atpworldtour.com/en/scores/archive/indian-wells/404/1999/results,indian-wells,Indian Wells,http://www.atpworldtour.com/en/scores/archive/indian-wells/404/1999/draws,http://www.protennislive.com/posting/1999/404/mds.pdf,Outdoor,Hard,1000,19990308,,56,56,2450000,$,USA
1999-497,Besancon,1999,497,http://www.atpworldtour.com/en/scores/archive/besancon/497/1999/results,besancon,Besancon,http://www.atpworldtour.com/en/scores/archive/besancon/497/1999/draws,http://www.protennislive.com/posting/1999/497/mds.pdf,Indoor,Hard,ch,19990308,,32,32,25000,$,FRA
1999-59,Salinas,1999,59,http://www.atpworldtour.com/en/scores/archive/salinas/59/1999/results,salinas,Salinas,http://www.atpworldtour.com/en/scores/archive/salinas/59/1999/draws,http://www.protennislive.com/posting/1999/59/mds.pdf,Outdoor,Hard,ch,19990308,,32,32,75000,$,ECU
1999-91,Kyoto,1999,91,http://www.atpworldtour.com/en/scores/archive/kyoto/91/1999/results,kyoto,Kyoto,http://www.atpworldtour.com/en/scores/archive/kyoto/91/1999/draws,http://www.protennislive.com/posting/1999/91/mds.pdf,Indoor,Carpet,ch,19990308,,32,32,25000,$,JPN
1999-403,ATP Masters 1000 Miami,1999,403,http://www.atpworldtour.com/en/scores/archive/miami/403/1999/results,miami,Miami,http://www.atpworldtour.com/en/scores/archive/miami/403/1999/draws,http://www.protennislive.com/posting/1999/403/mds.pdf,Outdoor,Hard,1000,19990315,,96,96,2700000,$,USA
1999-360,Casablanca,1999,360,http://www.atpworldtour.com/en/scores/archive/casablanca/360/1999/results,casablanca,Casablanca,http://www.atpworldtour.com/en/scores/archive/casablanca/360/1999/draws,http://www.protennislive.com/posting/1999/360/mds.pdf,Outdoor,Clay,atp,19990322,,32,32,240000,$,MAR
1999-60,Barletta,1999,60,http://www.atpworldtour.com/en/scores/archive/barletta/60/1999/results,barletta,Barletta,http://www.atpworldtour.com/en/scores/archive/barletta/60/1999/draws,http://www.protennislive.com/posting/1999/60/mds.pdf,Outdoor,Clay,ch,19990329,,32,32,25000,$,ITA
1999-336,Hong Kong,1999,336,http://www.atpworldtour.com/en/scores/archive/hong-kong/336/1999/results,hong-kong,Hong Kong,http://www.atpworldtour.com/en/scores/archive/hong-kong/336/1999/draws,http://www.protennislive.com/posting/1999/336/mds.pdf,Outdoor,Hard,atp,19990405,,32,32,350000,$,CHN
1999-443,Napoli,1999,443,http://www.atpworldtour.com/en/scores/archive/napoli/443/1999/results,napoli,Napoli,http://www.atpworldtour.com/en/scores/archive/napoli/443/1999/draws,http://www.protennislive.com/posting/1999/443/mds.pdf,Outdoor,Clay,ch,19990405,,32,32,100000,$,ITA
1999-468,Estoril,1999,468,http://www.atpworldtour.com/en/scores/archive/estoril/468/1999/results,estoril,Estoril,http://www.atpworldtour.com/en/scores/archive/estoril/468/1999/draws,http://www.protennislive.com/posting/1999/468/mds.pdf,Outdoor,Clay,atp,19990405,,32,32,625000,$,POR
1999-891,Chennai,1999,891,http://www.atpworldtour.com/en/scores/archive/chennai/891/1999/results,chennai,Chennai,http://www.atpworldtour.com/en/scores/archive/chennai/891/1999/draws,http://www.protennislive.com/posting/1999/891/mds.pdf,Outdoor,Hard,atp,19990405,,32,32,430000,$,IND
1999-1,Nice,1999,1,http://www.atpworldtour.com/en/scores/archive/nice/1/1999/results,nice,Nice,http://www.atpworldtour.com/en/scores/archive/nice/1/1999/draws,http://www.protennislive.com/posting/1999/1/mds.pdf,Outdoor,Clay,ch,19990412,,32,32,100000,$,FRA
1999-329,Tokyo,1999,329,http://www.atpworldtour.com/en/scores/archive/tokyo/329/1999/results,tokyo,Tokyo,http://www.atpworldtour.com/en/scores/archive/tokyo/329/1999/draws,http://www.protennislive.com/posting/1999/329/mds.pdf,Outdoor,Hard,atp,19990412,,56,56,725000,$,JPN
1999-425,Barcelona,1999,425,http://www.atpworldtour.com/en/scores/archive/barcelona/425/1999/results,barcelona,Barcelona,http://www.atpworldtour.com/en/scores/archive/barcelona/425/1999/draws,http://www.protennislive.com/posting/1999/425/mds.pdf,Outdoor,Clay,atp,19990412,,56,56,950000,$,ESP
1999-511,Bermuda,1999,511,http://www.atpworldtour.com/en/scores/archive/bermuda/511/1999/results,bermuda,Bermuda,http://www.atpworldtour.com/en/scores/archive/bermuda/511/1999/draws,http://www.protennislive.com/posting/1999/511/mds.pdf,Outdoor,Clay,ch,19990412,,32,32,100000,$,BER
1999-672,New Delhi,1999,672,http://www.atpworldtour.com/en/scores/archive/new-delhi/672/1999/results,new-delhi,New Delhi,http://www.atpworldtour.com/en/scores/archive/new-delhi/672/1999/draws,http://www.protennislive.com/posting/1999/672/mds.pdf,Outdoor,Hard,ch,19990412,,32,32,25000,$,IND
1999-410,ATP Masters 1000 Monte Carlo,1999,410,http://www.atpworldtour.com/en/scores/archive/monte-carlo/410/1999/results,monte-carlo,Monte Carlo,http://www.atpworldtour.com/en/scores/archive/monte-carlo/410/1999/draws,http://www.protennislive.com/posting/1999/410/mds.pdf,Outdoor,Clay,1000,19990419,,56,56,2450000,$,MON
1999-717,Orlando,1999,717,http://www.atpworldtour.com/en/scores/archive/orlando/717/1999/results,orlando,Orlando,http://www.atpworldtour.com/en/scores/archive/orlando/717/1999/draws,http://www.protennislive.com/posting/1999/717/mds.pdf,Outdoor,Clay,atp,19990419,,32,32,289250,$,USA
1999-308,Munich,1999,308,http://www.atpworldtour.com/en/scores/archive/munich/308/1999/results,munich,Munich,http://www.atpworldtour.com/en/scores/archive/munich/308/1999/draws,http://www.protennislive.com/posting/1999/308/mds.pdf,Outdoor,Clay,atp,19990426,,32,32,525000,$,GER
1999-379,Prague,1999,379,http://www.atpworldtour.com/en/scores/archive/prague/379/1999/results,prague,Prague,http://www.atpworldtour.com/en/scores/archive/prague/379/1999/draws,http://www.protennislive.com/posting/1999/379/mds.pdf,Outdoor,Clay,atp,19990426,,32,32,500000,$,CZE
