id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2023-2843-d994-s0s1-Q1,2023-2843,Q1,6,,d994,James Duckworth,AUS,30.946,s0s1,Ben Shelton,USA,20.228,,6,63 76(2),2,0,13,9,1,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs015,93,12,2,36,60,32,36,16,24,1,1,48,60,16,51,18,34,1,10,11,10,34,85,82,145,,,,,,,,,,8,6,51,85,35,51,16,34,9,10,51,85,4,36,8,24,0,1,10,11,12,60,63,145,,,,,,,,,
2023-2843-da81-w0c4-Q1,2023-2843,Q1,5,,da81,Taro Daniel,JPN,29.93,w0c4,Edward Winter,AUS,18.295,5,WC,61 60,2,0,12,1,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs009,63,5,0,28,39,21,28,7,11,3,3,28,39,15,28,13,16,6,11,6,7,28,44,56,83,,,,,,,,,,0,1,28,44,13,28,3,16,5,11,16,44,7,28,4,11,0,3,7,6,11,39,27,83,,,,,,,,,
2023-2843-h0bh-bk24-Q1,2023-2843,Q1,4,,h0bh,Rinky Hijikata,AUS,21.857,bk24,Gregoire Barrere,FRA,28.876,WC,4,62 63,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs014,68,3,1,30,47,25,30,12,17,0,0,37,47,11,32,18,29,3,7,9,8,29,61,66,108,,,,,,,,,,3,3,32,61,21,32,11,29,4,7,32,61,5,30,5,17,0,0,8,9,10,47,42,108,,,,,,,,,
2023-2843-kf17-tb69-Q1,2023-2843,Q1,1,,kf17,Soonwoo Kwon,KOR,25.08,tb69,Dominic Thiem,AUT,29.327,1,,64 61,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs008,74,8,4,31,51,21,31,12,20,0,2,33,51,17,32,13,22,5,9,9,8,30,54,63,105,,,,,,,,,,6,2,32,54,15,32,9,22,4,9,24,54,10,31,8,20,2,2,8,9,18,51,42,105,,,,,,,,,
2023-2843-p09z-z371-Q1,2023-2843,Q1,8,,p09z,Alexei Popyrin,AUS,23.405,z371,Zhizhen Zhang,CHN,26.209,,8,62 63,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs011,59,5,1,26,42,23,26,13,16,0,0,36,42,6,26,14,22,3,5,9,8,20,48,56,90,,,,,,,,,,1,3,26,48,20,26,8,22,2,5,28,48,3,26,3,16,0,0,8,9,6,42,34,90,,,,,,,,,
2023-2843-pd07-mh30-Q1,2023-2843,Q1,7,,pd07,Vasek Pospisil,CAN,32.524,mh30,John Millman,AUS,33.548,7,,75 62,2,0,13,7,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs013,91,7,3,30,54,24,30,15,24,2,3,39,54,16,44,15,25,4,9,10,10,31,69,70,123,,,,,,,,,,3,0,44,69,28,44,10,25,5,9,38,69,6,30,9,24,1,3,10,10,15,54,53,123,,,,,,,,,
2023-2843-sx50-h997-Q1,2023-2843,Q1,3,,sx50,Roman Safiullin,RUS,25.4,h997,Yannick Hanfmann,GER,31.134,3,,67(2) 64 64,2,1,18,15,0,1,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs012,149,9,1,68,92,51,68,16,24,5,6,67,92,22,66,19,45,3,9,16,16,41,111,108,203,,,,,,,,,,8,1,66,111,44,66,26,45,6,9,70,111,17,68,8,24,1,6,16,16,25,92,95,203,,,,,,,,,
2023-2843-wb32-hh26-Q1,2023-2843,Q1,2,,wb32,Yibing Wu,CHN,23.215,hh26,Ugo Humbert,FRA,24.516,,2,63 76(1),2,0,13,9,1,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs010,80,5,1,42,65,32,42,16,23,3,4,48,65,15,40,9,17,2,4,11,10,24,57,72,122,,,,,,,,,,3,0,40,57,25,40,8,17,2,4,33,57,10,42,7,23,1,4,10,11,17,65,50,122,,,,,,,,,
2023-2843-h0bh-d994-Q2,2023-2843,Q2,3,,h0bh,Rinky Hijikata,AUS,21.857,d994,James Duckworth,AUS,30.946,WC,,75 64,2,0,13,9,0,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs007,99,7,4,40,74,31,40,18,34,6,7,49,74,10,40,18,36,3,9,11,11,28,76,77,150,,,,,,,,,,7,2,40,76,30,40,18,36,6,9,48,76,9,40,16,34,1,7,11,11,25,74,73,150,,,,,,,,,
2023-2843-kf17-da81-Q2,2023-2843,Q2,1,,kf17,Soonwoo Kwon,KOR,25.08,da81,Taro Daniel,JPN,29.93,1,5,76(4) 46 76(2),2,1,18,18,2,0,http://www.atpworldtour.com/en/scores/stats-centre/archive/2023/2843/qs004,177,8,7,70,126,58,70,30,56,6,7,88,126,21,78,17,40,0,1,17,17,38,118,126,244,,,,,,,,,,15,2,78,118,57,78,23,40,1,1,80,118,12,70,26,56,1,7,17,17,38,126,118,244,,,,,,,,,
