id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2005-2205-a356-u043-R32,2005-2205,R32,3,,a356,Thierry Ascione,FRA,23.962,u043,Danai Udomchoke,THA,23.395,3,,61 62,2,0,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-b929-d487-R32,2005-2205,R32,9,,b929,Alex Bogdanovic,GBR,20.615,d487,Lukas Dlouhy,CZE,21.733,,,63 75,2,0,13,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-d357-a303-R32,2005-2205,R32,10,,d357,Arnaud Di Pasquale,FRA,25.895,a303,Leonardo Azzaro,ITA,26.594,WC,,60 64,2,0,12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-f344-r613-R32,2005-2205,R32,11,,f344,Jean-Christophe Faurel,FRA,23.825,r613,Edouard Roger-Vasselin,FRA,21.099,,WC,61 64,2,0,12,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-l336-m760-R32,2005-2205,R32,12,,l336,Harel Levy,ISR,26.411,m760,Oliver Marach,AUT,24.465,Q,,67(6) 62 64,2,1,18,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-m531-f494-R32,2005-2205,R32,13,,m531,Gouichi Motomura,JPN,31.024,f494,Philippe Frayssinoux,FRA,18.287,Q,WC,63 60,2,0,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-p398-a276-R32,2005-2205,R32,14,,p398,Arvind Parmar,GBR,26.782,a276,Jan Frode Andersen,NOR,32.346,,,62 64,2,0,12,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-p436-g319-R32,2005-2205,R32,1,,p436,Bjorn Phau,GER,25.247,g319,Jerome Golmard,FRA,31.317,1,,36 63 64,2,1,15,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-p567-j164-R32,2005-2205,R32,5,,p567,Filip Prpic,SWE,22.604,j164,Julien Jeanpierre,FRA,24.814,Q,5,62 75,2,0,13,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-s550-g436-R32,2005-2205,R32,7,,s550,Takao Suzuki,JPN,28.287,g436,Marc Gicquel,FRA,27.76,,7,64 64,2,0,12,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-s799-p389-R32,2005-2205,R32,16,,s799,Pavel Snobel,CZE,24.849,p389,Jean-Baptiste Perlant,FRA,27.865,LL,WC,62 67(4) 63,2,1,18,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-s809-s564-R32,2005-2205,R32,4,,s809,Yuri Schukin,KAZ,25.521,s564,Jeff Salzenstein,USA,31.22,,4,64 64,2,0,12,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2205-s963-g372-R32,2005-2205,R32,15,,s963,Florent Serra,FRA,23.849,g372,Stefano Galvani,ITA,27.583,,,76(3) 64,2,0,13,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
