id,tournament_id,stadie_id,match_order,match_ret,winner_code,winner_name,winner_citizenship,winner_age,loser_code,loser_name,loser_citizenship,loser_age,winner_seed,loser_seed,match_score,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,stats_url,match_duration,win_aces,win_double_faults,win_first_serves_in,win_first_serves_total,win_first_serve_points_won,win_first_serve_points_total,win_second_serve_points_won,win_second_serve_points_total,win_break_points_saved,win_break_points_serve_total,win_service_points_won,win_service_points_total,win_first_serve_return_won,win_first_serve_return_total,win_second_serve_return_won,win_second_serve_return_total,win_break_points_converted,win_break_points_return_total,win_service_games_played,win_return_games_played,win_return_points_won,win_return_points_total,win_total_points_won,win_total_points_total,win_winners,win_forced_errors,win_unforced_errors,win_net_points_won,win_net_points_total,win_fastest_first_serves_kmh,win_average_first_serves_kmh,win_fastest_second_serve_kmh,win_average_second_serve_kmh,los_aces,los_double_faults,los_first_serves_in,los_first_serves_total,los_first_serve_points_won,los_first_serve_points_total,los_second_serve_points_won,los_second_serve_points_total,los_break_points_saved,los_break_points_serve_total,los_service_points_won,los_service_points_total,los_first_serve_return_won,los_first_serve_return_total,los_second_serve_return_won,los_second_serve_return_total,los_break_points_converted,los_break_points_return_total,los_service_games_played,los_return_games_played,los_return_points_won,los_return_points_total,los_total_points_won,los_total_points_total,los_winners,los_forced_errors,los_unforced_errors,los_net_points_won,los_net_points_total,los_fastest_first_serves_kmh,los_average_first_serves_kmh,los_fastest_second_serve_kmh,los_average_second_serve_kmh
2002-451-b446-v220-R32,2002-451,R32,9,,b446,Jonas Bjorkman,SWE,29.771,v220,Jan Vacek,CZE,25.639,,,64 67(2) 63,2,1,18,14,0,1,http://www.atpworldtour.com/en/scores/2002/451/MS025/match-stats?isLive=False,140,6,1,54,90,43,54,22,36,3,4,65,90,21,75,33,56,3,15,16,15,54,131,119,221,,,,,,,,,,13,5,75,131,54,75,23,56,12,15,77,131,11,54,14,36,1,4,15,16,25,90,102,221,,,,,,,,,
2002-451-d272-g254-R32,2002-451,R32,11,,d272,Antony Dupuis,FRA,28.852,g254,Andrea Gaudenzi,ITA,28.419,,,63 63,2,0,12,6,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS021/match-stats?isLive=False,81,6,1,34,56,24,34,8,22,1,4,32,56,13,31,21,28,6,9,9,9,34,59,66,115,,,,,,,,,,1,8,31,59,18,31,7,28,3,9,25,59,10,34,14,22,3,4,9,9,24,56,49,115,,,,,,,,,
2002-451-d402-y061-R32,2002-451,R32,10,,d402,Nikolay Davydenko,RUS,20.577,y061,Mikhail Youzhny,RUS,19.516,,,64 62,2,0,12,6,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS017/match-stats?isLive=False,95,2,3,33,63,29,33,11,30,6,7,40,63,17,40,20,39,4,13,9,9,37,79,77,142,,,,,,,,,,0,3,40,79,23,40,19,39,9,13,42,79,4,33,19,30,1,7,9,9,23,63,65,142,,,,,,,,,
2002-451-e121-p226-R32,2002-451,R32,6,,e121,Younes El Aynaoui,MAR,30.301,p226,Cedric Pioline,FRA,32.543,6,WC,76(2) 64,2,0,13,10,1,0,http://www.atpworldtour.com/en/scores/2002/451/MS023/match-stats?isLive=False,104,12,2,53,73,43,53,9,20,2,3,52,73,11,48,23,41,2,10,11,11,34,89,86,162,,,,,,,,,,10,5,48,89,37,48,18,41,8,10,55,89,10,53,11,20,1,3,11,11,21,73,76,162,,,,,,,,,
2002-451-i034-k310-R32,2002-451,R32,2,,i034,Goran Ivanisevic,CRO,30.298,k310,Stefan Koubek,AUT,24.994,2,,64 36 63,2,1,15,13,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS031/match-stats?isLive=False,118,11,4,63,112,44,63,25,49,9,10,69,112,16,54,19,45,2,7,14,14,35,99,104,211,,,,,,,,,,2,3,54,99,38,54,26,45,5,7,64,99,19,63,24,49,1,10,14,14,43,112,107,211,,,,,,,,,
2002-451-k263-p305-R32,2002-451,R32,3,,k263,Julian Knowle,AUT,27.672,p305,Albert Portas,ESP,28.126,Q,3,64 16 76(0),2,1,14,16,1,0,http://www.atpworldtour.com/en/scores/2002/451/MS027/match-stats?isLive=False,132,2,4,32,54,21,32,9,22,5,8,30,54,13,42,9,16,2,8,8,9,22,58,52,112,,,,,,,,,,5,2,42,58,29,42,7,16,6,8,36,58,11,32,13,22,3,8,9,8,24,54,60,112,,,,,,,,,
2002-451-k267-v141-R32,2002-451,R32,1,,k267,Yevgeny Kafelnikov,RUS,27.868,v141,Daniel Vacek,CZE,30.747,1,,76(0) 64,2,0,13,10,1,0,http://www.atpworldtour.com/en/scores/2002/451/MS016/match-stats?isLive=False,83,7,3,31,71,23,31,21,40,3,6,44,71,12,40,20,27,4,5,11,11,32,67,76,138,,,,,,,,,,6,1,40,67,28,40,7,27,1,5,35,67,8,31,19,40,3,6,11,11,27,71,62,138,,,,,,,,,
2002-451-m535-c270-R32,2002-451,R32,8,,m535,Felix Mantilla,ESP,27.271,c270,Cristiano Caratti,ITA,31.602,8,Q,61 61,2,0,12,2,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS028/match-stats?isLive=False,66,3,2,30,53,23,30,11,23,3,3,34,53,20,34,8,17,5,14,7,7,28,51,62,104,,,,,,,,,,4,1,34,51,14,34,9,17,9,14,23,51,7,30,12,23,0,3,7,7,19,53,42,104,,,,,,,,,
2002-451-m824-s677-R32,2002-451,R32,12,,m824,Albert Montanes,ESP,21.096,s677,David Sanchez,ESP,23.696,,,63 62,2,0,12,5,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS018/match-stats?isLive=False,76,3,4,35,62,27,35,15,27,7,7,42,62,7,26,11,20,3,4,9,8,18,46,60,108,,,,,,,,,,3,1,26,46,19,26,9,20,1,4,28,46,8,35,12,27,0,7,8,9,20,62,48,108,,,,,,,,,
2002-451-n254-h364-R32,2002-451,R32,4,,n254,Jiri Novak,CZE,26.774,h364,Markus Hipfl,AUT,23.68,4,,36 63 62,2,1,15,11,0,0,http://www.atpworldtour.com/en/scores/2002/451/MS020/match-stats?isLive=False,93,4,2,56,79,33,56,15,23,3,6,48,79,17,48,18,31,5,8,13,13,35,79,83,158,,,,,,,,,,2,1,48,79,31,48,13,31,3,8,44,79,23,56,8,23,3,6,13,13,31,79,75,158,,,,,,,,,
